	genes	uniprot	hgnc.symbol	drugcentral	drug_name	target_class	action_type
43	GSR	P00390	GSR	1922	nifedipine	Enzyme
44	GSS	P48637	GSS	66	acetylcysteine	Enzyme	MODULATOR
45	HPRT1	P00492	HPRT1	124	allopurinol	Enzyme
46	HPRT1	P00492	HPRT1	2632	thioguanine	Enzyme
47	CA2	P00918	CA2	52	paracetamol	Enzyme
48	CA2	P00918	CA2	56	acetazolamide	Enzyme	INHIBITOR
49	CA2	P00918	CA2	58	acetohydroxamic acid	Enzyme
50	CA2	P00918	CA2	305	bendroflumethiazide	Enzyme
51	CA2	P00918	CA2	332	benzthiazide	Enzyme
52	CA2	P00918	CA2	391	bortezomib	Enzyme
53	CA2	P00918	CA2	396	brinzolamide	Enzyme	INHIBITOR
54	CA2	P00918	CA2	565	cefuroxime	Enzyme
55	CA2	P00918	CA2	568	celecoxib	Enzyme
56	CA2	P00918	CA2	609	chlorothiazide	Enzyme
57	CA2	P00918	CA2	625	chlortalidone	Enzyme
58	CA2	P00918	CA2	629	cianidanol	Enzyme
59	CA2	P00918	CA2	657	cinoxacin	Enzyme
60	CA2	P00918	CA2	719	clotrimazole	Enzyme
61	CA2	P00918	CA2	738	coumarin	Enzyme
62	CA2	P00918	CA2	864	dichlorphenamide	Enzyme	INHIBITOR
63	CA2	P00918	CA2	880	diflunisal	Enzyme
64	CA2	P00918	CA2	931	ditiocarb	Enzyme
65	CA2	P00918	CA2	937	dobutamine	Enzyme
66	CA2	P00918	CA2	949	dorzolamide	Enzyme	INHIBITOR
67	CA2	P00918	CA2	1089	ethoxzolamide	Enzyme	INHIBITOR
68	CA2	P00918	CA2	1129	famotidine	Enzyme
69	CA2	P00918	CA2	1258	furosemide	Enzyme
70	CA2	P00918	CA2	1334	guaiacol	Enzyme
71	CA2	P00918	CA2	1385	hydrochlorothiazide	Enzyme
72	CA2	P00918	CA2	1399	hydroxycarbamide	Enzyme
73	CA2	P00918	CA2	1423	imatinib	Enzyme
74	CA2	P00918	CA2	1433	indapamide	Enzyme
75	CA2	P00918	CA2	1624	mafenide	Enzyme
76	CA2	P00918	CA2	1741	methazolamide	Enzyme	INHIBITOR
77	CA2	P00918	CA2	1766	methylparaben	Enzyme
78	CA2	P00918	CA2	1795	mezlocillin	Enzyme
79	CA2	P00918	CA2	1932	nilotinib	Enzyme
80	CA2	P00918	CA2	2049	aminobenzoic acid	Enzyme
81	CA2	P00918	CA2	2179	pioglitazone	Enzyme
82	CA2	P00918	CA2	2268	probenecid	Enzyme
83	CA2	P00918	CA2	2302	propofol	Enzyme
84	CA2	P00918	CA2	2328	pyrazinamide	Enzyme
85	CA2	P00918	CA2	2405	rosiglitazone	Enzyme
86	CA2	P00918	CA2	2416	salicylic acid	Enzyme
87	CA2	P00918	CA2	2443	silymarin	Enzyme
88	CA2	P00918	CA2	2521	sulfanilamide	Enzyme
89	CA2	P00918	CA2	2525	sulfasalazine	Enzyme
90	CA2	P00918	CA2	2537	sulpiride	Enzyme
91	CA2	P00918	CA2	2540	sultiame	Enzyme
92	CA2	P00918	CA2	2706	topiramate	Enzyme	INHIBITOR
93	CA2	P00918	CA2	2733	trichlormethiazide	Enzyme
94	CA2	P00918	CA2	2738	trientine	Enzyme
95	CA2	P00918	CA2	2767	troglitazone	Enzyme
96	CA2	P00918	CA2	2799	valdecoxib	Enzyme
97	CA2	P00918	CA2	2868	zoledronic acid	Enzyme
98	CA2	P00918	CA2	2872	zonisamide	Enzyme
99	CA2	P00918	CA2	3260	gentisic acid	Enzyme
100	CA2	P00918	CA2	3282	hydroquinone	Enzyme
101	CA2	P00918	CA2	3514	quercetin	Enzyme
102	CA2	P00918	CA2	3524	resorcinol	Enzyme
103	CA2	P00918	CA2	3607	tioxolone	Enzyme
104	CA2	P00918	CA2	3686	benzylsulfamide	Enzyme
105	CA2	P00918	CA2	4260	sulfur	Enzyme
106	CA2	P00918	CA2	4266	phenol	Enzyme
107	CA2	P00918	CA2	4310	lacosamide	Enzyme
108	CA2	P00918	CA2	4344	zinc chloride	Enzyme
109	CA2	P00918	CA2	4373	sodium benzoate	Enzyme
110	CA2	P00918	CA2	4683	paraoxon	Enzyme
111	CA2	P00918	CA2	4773	ethyl hydroxybenzoate	Enzyme
112	CA2	P00918	CA2	4797	sodium nitrite	Enzyme
113	CA2	P00918	CA2	4877	tavaborole	Enzyme
114	CA2	P00918	CA2	5039	tannic acid	Enzyme
115	CA1	P00915	CA1	52	paracetamol	Enzyme
116	CA1	P00915	CA1	56	acetazolamide	Enzyme	INHIBITOR
117	CA1	P00915	CA1	183	amlodipine	Enzyme
118	CA1	P00915	CA1	305	bendroflumethiazide	Enzyme
119	CA1	P00915	CA1	332	benzthiazide	Enzyme
120	CA1	P00915	CA1	391	bortezomib	Enzyme
121	CA1	P00915	CA1	396	brinzolamide	Enzyme
122	CA1	P00915	CA1	568	celecoxib	Enzyme
123	CA1	P00915	CA1	625	chlortalidone	Enzyme
124	CA1	P00915	CA1	629	cianidanol	Enzyme
125	CA1	P00915	CA1	738	coumarin	Enzyme
126	CA1	P00915	CA1	864	dichlorphenamide	Enzyme	INHIBITOR
127	CA1	P00915	CA1	880	diflunisal	Enzyme
128	CA1	P00915	CA1	931	ditiocarb	Enzyme
129	CA1	P00915	CA1	937	dobutamine	Enzyme
130	CA1	P00915	CA1	949	dorzolamide	Enzyme
131	CA1	P00915	CA1	1089	ethoxzolamide	Enzyme	INHIBITOR
132	CA1	P00915	CA1	1129	famotidine	Enzyme
133	CA1	P00915	CA1	1258	furosemide	Enzyme
134	CA1	P00915	CA1	1334	guaiacol	Enzyme
135	CA1	P00915	CA1	1385	hydrochlorothiazide	Enzyme
136	CA1	P00915	CA1	1423	imatinib	Enzyme
137	CA1	P00915	CA1	1433	indapamide	Enzyme
138	CA1	P00915	CA1	1563	levetiracetam	Enzyme
139	CA1	P00915	CA1	1624	mafenide	Enzyme
140	CA1	P00915	CA1	1741	methazolamide	Enzyme	INHIBITOR
141	CA1	P00915	CA1	1747	methocarbamol	Enzyme	INHIBITOR
142	CA1	P00915	CA1	1766	methylparaben	Enzyme
143	CA1	P00915	CA1	1932	nilotinib	Enzyme
144	CA1	P00915	CA1	2049	aminobenzoic acid	Enzyme
145	CA1	P00915	CA1	2302	propofol	Enzyme
146	CA1	P00915	CA1	2416	salicylic acid	Enzyme
147	CA1	P00915	CA1	2443	silymarin	Enzyme
148	CA1	P00915	CA1	2521	sulfanilamide	Enzyme
149	CA1	P00915	CA1	2525	sulfasalazine	Enzyme
150	CA1	P00915	CA1	2537	sulpiride	Enzyme
151	CA1	P00915	CA1	2540	sultiame	Enzyme
152	CA1	P00915	CA1	2706	topiramate	Enzyme
153	CA1	P00915	CA1	2733	trichlormethiazide	Enzyme
154	CA1	P00915	CA1	2738	trientine	Enzyme
155	CA1	P00915	CA1	2799	valdecoxib	Enzyme
156	CA1	P00915	CA1	2815	verapamil	Enzyme
157	CA1	P00915	CA1	2872	zonisamide	Enzyme
158	CA1	P00915	CA1	3260	gentisic acid	Enzyme
159	CA1	P00915	CA1	3282	hydroquinone	Enzyme
160	CA1	P00915	CA1	3514	quercetin	Enzyme
161	CA1	P00915	CA1	3686	benzylsulfamide	Enzyme
162	CA1	P00915	CA1	4203	sodium acetate	Enzyme
163	CA1	P00915	CA1	4260	sulfur	Enzyme
164	CA1	P00915	CA1	4266	phenol	Enzyme
165	CA1	P00915	CA1	4310	lacosamide	Enzyme
166	CA1	P00915	CA1	4683	paraoxon	Enzyme
167	CA1	P00915	CA1	4773	ethyl hydroxybenzoate	Enzyme
168	CA1	P00915	CA1	4797	sodium nitrite	Enzyme
169	CA1	P00915	CA1	4877	tavaborole	Enzyme
170	CA1	P00915	CA1	5039	tannic acid	Enzyme
171	CA3	P07451	CA3	52	paracetamol	Enzyme
172	CA3	P07451	CA3	56	acetazolamide	Enzyme
173	CA3	P07451	CA3	391	bortezomib	Enzyme
174	CA3	P07451	CA3	568	celecoxib	Enzyme
175	CA3	P07451	CA3	625	chlortalidone	Enzyme
176	CA3	P07451	CA3	629	cianidanol	Enzyme
177	CA3	P07451	CA3	738	coumarin	Enzyme
178	CA3	P07451	CA3	937	dobutamine	Enzyme
179	CA3	P07451	CA3	949	dorzolamide	Enzyme
180	CA3	P07451	CA3	1089	ethoxzolamide	Enzyme	INHIBITOR
181	CA3	P07451	CA3	1423	imatinib	Enzyme
182	CA3	P07451	CA3	1741	methazolamide	Enzyme
183	CA3	P07451	CA3	1932	nilotinib	Enzyme
184	CA3	P07451	CA3	2443	silymarin	Enzyme
185	CA3	P07451	CA3	2521	sulfanilamide	Enzyme
186	CA3	P07451	CA3	2537	sulpiride	Enzyme
187	CA3	P07451	CA3	2738	trientine	Enzyme
188	CA3	P07451	CA3	2799	valdecoxib	Enzyme
189	CA3	P07451	CA3	3282	hydroquinone	Enzyme
190	CA3	P07451	CA3	3508	pyrithione	Enzyme
191	CA3	P07451	CA3	3514	quercetin	Enzyme
192	CA3	P07451	CA3	4248	pyrithione zinc	Enzyme
193	CA3	P07451	CA3	4266	phenol	Enzyme
194	CA3	P07451	CA3	4310	lacosamide	Enzyme
195	CA3	P07451	CA3	4733	thiomersal	Enzyme
196	IDH1	O75874	IDH1	5251	enasidenib	Enzyme
197	IDH1	O75874	IDH1	5292	ivosidenib	Enzyme	INHIBITOR
198	IMPDH2	P12268	IMPDH2	1859	mycophenolate mofetil	Enzyme	INHIBITOR
199	IMPDH2	P12268	IMPDH2	1860	mycophenolic acid	Enzyme
200	IMPDH2	P12268	IMPDH2	2373	ribavirin	Enzyme	INHIBITOR
201	IMPDH2	P12268	IMPDH2	2632	thioguanine	Enzyme	INHIBITOR
202	LDHB	P07195	LDHB	1328	gossypol	Enzyme
203	LDHA	P00338	LDHA	92	adenosine phosphate	Enzyme
204	LDHA	P00338	LDHA	1328	gossypol	Enzyme
205	GLO1	Q04760	GLO1	47	acemetacin	Enzyme
206	GLO1	Q04760	GLO1	1440	indomethacin	Enzyme
207	GLO1	Q04760	GLO1	2502	sulfadimidine	Enzyme
208	GLO1	Q04760	GLO1	2534	sulindac	Enzyme
209	GLO1	Q04760	GLO1	2699	tolmetin	Enzyme
210	GLO1	Q04760	GLO1	3514	quercetin	Enzyme
211	PLA2G4A	P47712	PLA2G4A	1225	fluticasone propionate	Enzyme
212	PLA2G4A	P47712	PLA2G4A	2855	zafirlukast	Enzyme
213	LTA4H	P09960	LTA4H	484	captopril	Enzyme
214	LTA4H	P09960	LTA4H	2787	ubenimex	Enzyme
215	LTA4H	P09960	LTA4H	2862	zileuton	Enzyme
216	LTA4H	P09960	LTA4H	4124	vorinostat	Enzyme
217	MPI	P34949	MPI	228	apomorphine	Enzyme
218	MDH1	P40925	MDH1	719	clotrimazole	Enzyme
219	MDH1	P40925	MDH1	799	delavirdine	Enzyme
220	MDH1	P40925	MDH1	983	econazole	Enzyme
221	MDH1	P40925	MDH1	1800	miconazole	Enzyme
222	MDH1	P40925	MDH1	1909	nicardipine	Enzyme
223	MDH1	P40925	MDH1	2495	sulconazole	Enzyme
224	SYNJ1	O43426	SYNJ1	2335	pyrvinium	Enzyme
225	IMPA1	P29218	IMPA1	4207	lithium carbonate	Enzyme	INHIBITOR
226	IMPA1	P29218	IMPA1	4512	lithium citrate	Enzyme	INHIBITOR
227	NT5C2	P49902	NT5C2	2373	ribavirin	Enzyme
228	UMPS	P11172	UMPS	2002	oteracil	Enzyme	INHIBITOR
229	ODC1	P11926	ODC1	990	eflornithine	Enzyme	INHIBITOR
230	PDE4D	Q08499	PDE4D	1406	ibudilast	Enzyme
231	PDE4D	Q08499	PDE4D	2056	papaverine	Enzyme
232	PDE4D	Q08499	PDE4D	2441	sildenafil	Enzyme
233	PDE4D	Q08499	PDE4D	2693	tofisopam	Enzyme
234	PDE4D	Q08499	PDE4D	3531	roflumilast	Enzyme
235	PDE4D	Q08499	PDE4D	4829	apremilast	Enzyme	INHIBITOR
236	PDE2A	O00408	PDE2A	209	anagrelide	Enzyme
237	PDE2A	O00408	PDE2A	691	clofarabine	Enzyme
238	PDE2A	O00408	PDE2A	866	dicloxacillin	Enzyme
239	PDE2A	O00408	PDE2A	924	dipyridamole	Enzyme	INHIBITOR
240	PDE2A	O00408	PDE2A	2056	papaverine	Enzyme
241	PDE2A	O00408	PDE2A	2441	sildenafil	Enzyme
242	PDE2A	O00408	PDE2A	2809	vardenafil	Enzyme
243	PDE3A	Q14432	PDE3A	201	amrinone	Enzyme	INHIBITOR
244	PDE3A	Q14432	PDE3A	209	anagrelide	Enzyme	INHIBITOR
245	PDE3A	Q14432	PDE3A	644	cilostazol	Enzyme	INHIBITOR
246	PDE3A	Q14432	PDE3A	976	diprophylline	Enzyme	INHIBITOR
247	PDE3A	Q14432	PDE3A	1014	enoximone	Enzyme
248	PDE3A	Q14432	PDE3A	1576	levosimendan	Enzyme
249	PDE3A	Q14432	PDE3A	1809	milrinone	Enzyme	INHIBITOR
250	PDE3A	Q14432	PDE3A	2056	papaverine	Enzyme
251	PDE3A	Q14432	PDE3A	2620	theophylline	Enzyme	INHIBITOR
252	PDE3A	Q14432	PDE3A	2817	vesnarinone	Enzyme
253	PDE3B	Q13370	PDE3B	201	amrinone	Enzyme	INHIBITOR
254	PDE3B	Q13370	PDE3B	644	cilostazol	Enzyme	INHIBITOR
255	PDE3B	Q13370	PDE3B	1809	milrinone	Enzyme
256	PDE3B	Q13370	PDE3B	2056	papaverine	Enzyme
257	PDE3B	Q13370	PDE3B	2817	vesnarinone	Enzyme
258	PNPO	Q9NVS9	PNPO	2836	pyridoxine	Enzyme
259	PDXP	Q96GD0	PDXP	2836	pyridoxine	Enzyme
260	GOT1	P17174	GOT1	1550	aspartic acid	Enzyme
261	PIP5K1C	O60331	PIP5K1C	3533	ruboxistaurin	Kinase
262	PIP5K1C	O60331	PIP5K1C	4118	pazopanib	Kinase
263	PIP4K2C	Q8TBX8	PIP4K2C	1045	erlotinib	Kinase
264	PIP4K2C	Q8TBX8	PIP4K2C	1282	gefitinib	Kinase
265	PIP4K2C	Q8TBX8	PIP4K2C	1423	imatinib	Kinase
266	PIP4K2C	Q8TBX8	PIP4K2C	1932	nilotinib	Kinase
267	PIP4K2C	Q8TBX8	PIP4K2C	4118	pazopanib	Kinase
268	PIP4K2C	Q8TBX8	PIP4K2C	5347	fedratinib	Kinase
269	PIP5K1A	Q99755	PIP5K1A	2544	sunitinib	Kinase
270	PIP5K1A	Q99755	PIP5K1A	3533	ruboxistaurin	Kinase
271	PIP5K1A	Q99755	PIP5K1A	4187	crizotinib	Kinase
272	PIP5K1A	Q99755	PIP5K1A	4359	bosutinib	Kinase
273	PIP5K1A	Q99755	PIP5K1A	4903	nintedanib	Kinase
274	PIP5K1A	Q99755	PIP5K1A	5231	midostaurin	Kinase
275	PIP5K1A	Q99755	PIP5K1A	5347	fedratinib	Kinase
276	PIP4K2B	P78356	PIP4K2B	2544	sunitinib	Kinase
277	PIP4K2B	P78356	PIP4K2B	3533	ruboxistaurin	Kinase
278	PIP4K2B	P78356	PIP4K2B	4903	nintedanib	Kinase
279	PIP4K2B	P78356	PIP4K2B	5231	midostaurin	Kinase
280	PIP4K2B	P78356	PIP4K2B	5347	fedratinib	Kinase
281	PI4K2A	Q9BTU6	PI4K2A	90	adenosine	Kinase	INHIBITOR
282	PRPS1	P60891	PRPS1	691	clofarabine	Kinase
283	PRPS1	P60891	PRPS1	2818	vidarabine	Kinase
284	PDXK	O00764	PDXK	2836	pyridoxine	Kinase
285	RFK	Q969G6	RFK	2834	riboflavin	Kinase
286	ABCG2	Q9UNQ0	ABCG2	249	astemizole	Transporter
287	ABCG2	Q9UNQ0	ABCG2	269	azathioprine	Transporter
288	ABCG2	Q9UNQ0	ABCG2	760	ciclosporin	Transporter
289	ABCG2	Q9UNQ0	ABCG2	786	daunorubicin	Transporter
290	ABCG2	Q9UNQ0	ABCG2	960	doxorubicin	Transporter
291	ABCG2	Q9UNQ0	ABCG2	1112	etoposide	Transporter
292	ABCG2	Q9UNQ0	ABCG2	1115	etravirine	Transporter
293	ABCG2	Q9UNQ0	ABCG2	1282	gefitinib	Transporter
294	ABCG2	Q9UNQ0	ABCG2	1423	imatinib	Transporter
295	ABCG2	Q9UNQ0	ABCG2	1482	irinotecan	Transporter
296	ABCG2	Q9UNQ0	ABCG2	1548	lapatinib	Transporter
297	ABCG2	Q9UNQ0	ABCG2	1634	maprotiline	Transporter
298	ABCG2	Q9UNQ0	ABCG2	1751	methotrexate	Transporter
299	ABCG2	Q9UNQ0	ABCG2	1781	metochalcone	Transporter
300	ABCG2	Q9UNQ0	ABCG2	1821	mitoxantrone	Transporter
301	ABCG2	Q9UNQ0	ABCG2	1909	nicardipine	Transporter
302	ABCG2	Q9UNQ0	ABCG2	1974	novobiocin	Transporter
303	ABCG2	Q9UNQ0	ABCG2	2370	reserpine	Transporter
304	ABCG2	Q9UNQ0	ABCG2	2590	teniposide	Transporter
305	ABCG2	Q9UNQ0	ABCG2	2707	topotecan	Transporter
306	ABCG2	Q9UNQ0	ABCG2	2815	verapamil	Transporter
307	ABCG2	Q9UNQ0	ABCG2	3514	quercetin	Transporter
308	ABCG2	Q9UNQ0	ABCG2	4192	tafamidis	Transporter	INHIBITOR
309	ABCG2	Q9UNQ0	ABCG2	4719	daunorubicinol	Transporter
310	ABCG2	Q9UNQ0	ABCG2	5425	dotinurad	Transporter	INHIBITOR
311	ADA	P00813	ADA	90	adenosine	Enzyme
312	ADA	P00813	ADA	2098	pentostatin	Enzyme	INHIBITOR
313	ADA	P00813	ADA	4836	afamelanotide	Enzyme
314	ADK	P55263	ADK	90	adenosine	Kinase
315	ADK	P55263	ADK	2373	ribavirin	Kinase
316	SLC29A1	Q99808	SLC29A1	893	dilazep	Transporter
317	SLC29A1	Q99808	SLC29A1	924	dipyridamole	Transporter	INHIBITOR
318	SLC29A1	Q99808	SLC29A1	1580	lidoflazine	Transporter
319	SLC29A1	Q99808	SLC29A1	4184	ticagrelor	Transporter	INHIBITOR
320	AHCY	P23526	AHCY	90	adenosine	Enzyme
321	ALDH1A1	P00352	ALDH1A1	2831	retinol	Enzyme
322	CPT1A	P50416	CPT1A	513	levocarnitine	Enzyme
323	CPT1A	P50416	CPT1A	2106	perhexiline	Enzyme
324	ABCC4	O15439	ABCC4	269	azathioprine	Transporter
325	ABCC4	O15439	ABCC4	1482	irinotecan	Transporter
326	ABCC4	O15439	ABCC4	1708	mercaptopurine	Transporter
327	ABCC4	O15439	ABCC4	1751	methotrexate	Transporter
328	ABCC4	O15439	ABCC4	2632	thioguanine	Transporter
329	ABCC4	O15439	ABCC4	2707	topotecan	Transporter
330	PHOSPHO1	Q8TCT1	PHOSPHO1	1547	lansoprazole	Enzyme
331	CMPK1	P30085	CMPK1	1283	gemcitabine	Kinase
332	SLC2A1	P11166	SLC2A1	729	colforsin daropate	Transporter
333	SLC2A1	P11166	SLC2A1	1328	gossypol	Transporter
334	COMT	P21964	COMT	547	cefotetan	Enzyme
335	COMT	P21964	COMT	937	dobutamine	Enzyme
336	COMT	P21964	COMT	1018	entacapone	Enzyme	INHIBITOR
337	COMT	P21964	COMT	1180	flopropione	Enzyme	INHIBITOR
338	COMT	P21964	COMT	2697	tolcapone	Enzyme	INHIBITOR
339	COMT	P21964	COMT	3290	oxyquinoline	Enzyme
340	COMT	P21964	COMT	5143	opicapone	Enzyme	INHIBITOR
341	SLC2A2	P11168	SLC2A2	3514	quercetin	Transporter
342	GUCY1B1	Q02153	GUCY1B3	4807	riociguat	Enzyme	POSITIVE ALLOSTERIC MODULATOR
343	GUCY1B1	Q02153	GUCY1B3	5439	vericiguat	Enzyme	ACTIVATOR
344	ATP1A1	P05023	ATP1A1	427	bumetanide	Transporter
345	ATP1A1	P05023	ATP1A1	881	digitoxin	Transporter	INHIBITOR
346	ATP1A1	P05023	ATP1A1	1258	furosemide	Transporter
347	ATP1A1	P05023	ATP1A1	1705	meproscillarin	Transporter
348	ATP1A1	P05023	ATP1A1	1761	metildigoxin	Transporter
349	ATP1A1	P05023	ATP1A1	2004	ouabain	Transporter
350	ATP1A1	P05023	ATP1A1	2054	pantoprazole	Transporter
351	ATP1A1	P05023	ATP1A1	2313	proscillaridin	Transporter
352	ATP1A1	P05023	ATP1A1	2350	rabeprazole	Transporter
353	HSPA8	P11142	HSPA8	91	adenosine triphosphate	Unclassified
354	HSPA8	P11142	HSPA8	1364	hexachlorophene	Unclassified
355	ACLY	P53396	ACLY	5382	bempedoic acid	Enzyme	INHIBITOR
356	HBA	P69905	HBA1	1395	hydroxychloroquine	Secreted
357	HBA	P69905	HBA1	1665	mefloquine	Secreted
358	HBA	P69905	HBA1	2266	primaquine	Secreted
359	HBA	P69905	HBA1	4523	quinine	Secreted
360	HBA	P69905	HBA1	5356	voxelotor	Transporter	INHIBITOR
361	CSNK1A1	P48729	CSNK1A1	2459	sorafenib	Kinase
362	CSNK1A1	P48729	CSNK1A1	2544	sunitinib	Kinase
363	CSNK1A1	P48729	CSNK1A1	4190	ruxolitinib	Kinase
364	CSNK1A1	P48729	CSNK1A1	4359	bosutinib	Kinase
365	OXSR1	O95747	OXSR1	2544	sunitinib	Kinase
366	OXSR1	O95747	OXSR1	4190	ruxolitinib	Kinase
367	OXSR1	O95747	OXSR1	4903	nintedanib	Kinase
368	RAC1	P63000	RAC1	269	azathioprine	Enzyme
369	GSTO1	P78417	GSTO1	1071	ethacrynic acid	Unclassified
370	GSTO1	P78417	GSTO1	1990	omeprazole	Unclassified
371	GSTO1	P78417	GSTO1	2377	rifampicin	Unclassified
372	GSTO1	P78417	GSTO1	4483	carfilzomib	Unclassified
373	VCP	P55072	VCP	719	clotrimazole	Enzyme
374	VCP	P55072	VCP	1364	hexachlorophene	Enzyme
375	VCP	P55072	VCP	2817	vesnarinone	Enzyme
376	BLVRB	P30043	BLVRB	2834	riboflavin	Enzyme
377	PRKACA	P17612	PRKACA	1132	fasudil	Kinase
378	PRKACA	P17612	PRKACA	3533	ruboxistaurin	Kinase
379	PRKACA	P17612	PRKACA	4938	ripasudil	Kinase	INHIBITOR
380	PRKACA	P17612	PRKACA	5231	midostaurin	Kinase
381	KRAS	P01116	KRAS	4185	vemurafenib	Enzyme
382	KRAS	P01116	KRAS	4801	dabrafenib	Enzyme
383	KRAS	P01116	KRAS	5414	lonafarnib	Enzyme	INHIBITOR
384	KRAS	P01116	KRAS	5461	sotorasib	Enzyme	INHIBITOR
385	CBR1	P16152	CBR1	3631	triclosan	Enzyme
386	AQP1	P29972	AQP1	56	acetazolamide	Transporter
387	YARS1	P54577	YARS	3064	capsaicin	Enzyme
388	PNP	P00491	PNP	85	acyclovir	Enzyme
389	PNP	P00491	PNP	1708	mercaptopurine	Enzyme
390	PNP	P00491	PNP	5229	forodesine	Enzyme	INHIBITOR
391	PPIA	P62937	PPIA	760	ciclosporin	Enzyme	MODULATOR
392	PPIA	P62937	PPIA	4366	voclosporin	Enzyme	INHIBITOR
393	PPIB	P23284	PPIB	760	ciclosporin	Enzyme
394	HSP90AA1	P07900	HSP90AA1	1129	famotidine	Cytosolic other
395	HSP90AA1	P07900	HSP90AA1	1239	formoterol	Cytosolic other
396	HSP90AA1	P07900	HSP90AA1	1803	midodrine	Cytosolic other
397	HSP90AA1	P07900	HSP90AA1	2266	primaquine	Cytosolic other
398	HSP90AA1	P07900	HSP90AA1	2600	terfenadine	Cytosolic other
399	HSP90AA1	P07900	HSP90AA1	2832	thiamine	Cytosolic other
400	DARS1	P14868	DARS	1550	aspartic acid	Enzyme
401	FASN	P49327	FASN	578	cerulenin	Enzyme
402	FASN	P49327	FASN	1547	lansoprazole	Enzyme
403	FASN	P49327	FASN	1990	omeprazole	Enzyme
404	FASN	P49327	FASN	1996	orlistat	Enzyme
405	FASN	P49327	FASN	2054	pantoprazole	Enzyme
406	FASN	P49327	FASN	2350	rabeprazole	Enzyme
407	FASN	P49327	FASN	4867	dexrabeprazole	Enzyme
408	NPEPPS	P55786	NPEPPS	2787	ubenimex	Enzyme
409	NAPRT	Q6XQN6	NAPRT	54	acetanilide	Enzyme
410	NAPRT	Q6XQN6	NAPRT	74	acetylsalicylic acid	Enzyme
411	NAPRT	Q6XQN6	NAPRT	171	aminophenazone	Enzyme
412	NAPRT	Q6XQN6	NAPRT	861	phenazone	Enzyme
413	NAPRT	Q6XQN6	NAPRT	1193	flufenamic acid	Enzyme
414	NAPRT	Q6XQN6	NAPRT	1440	indomethacin	Enzyme
415	NAPRT	Q6XQN6	NAPRT	1663	mefenamic acid	Enzyme
416	NAPRT	Q6XQN6	NAPRT	2036	oxyphenbutazone	Enzyme
417	NAPRT	Q6XQN6	NAPRT	2145	phenylbutazone	Enzyme
418	NAPRT	Q6XQN6	NAPRT	2416	salicylic acid	Enzyme
